Feature,Importance
numeric__Acquisition_Cost,0.935374108804307
numeric__Duration,0.017527838781542286
categorical__Language_Hindi,0.0025232581964203652
categorical__Customer_Segment_Working Women,0.0022735578268684733
categorical__Campaign_Type_Paid Ads,0.0021420264646073365
categorical__Target_Audience_Premium Shoppers,0.0021252327584492157
categorical__Language_Tamil,0.002078458464212209
categorical__Campaign_Type_Influencer,0.0020775864147994077
categorical__Language_English,0.0020322615134113426
categorical__Campaign_Type_Social Media,0.001974066019502072
categorical__Campaign_Type_SEO,0.001963121355390814
categorical__Target_Audience_College Students,0.001960907354932493
categorical__Language_Bengali,0.0019593043553633913
categorical__Target_Audience_Youth,0.001955958739762303
categorical__Customer_Segment_Tier 2 City Customers,0.0019148392296988313
categorical__Customer_Segment_College Students,0.0019123382010579123
categorical__Target_Audience_Tier 2 City Customers,0.0019039186932826027
categorical__Customer_Segment_Youth,0.001899111802423341
categorical__Campaign_Type_Email,0.00164528230355216
categorical__Customer_Segment_Premium Shoppers,0.0015076867956833172
categorical__Target_Audience_Working Women,0.001475508736005536
categorical__Channel_Used_Instagram,0.0009137213069584245
categorical__Channel_Used_WhatsApp,0.000880869105103011
categorical__Channel_Used_Facebook,0.0006799911569304842
categorical__Channel_Used_YouTube,0.0006198222786875234
categorical__Channel_Used_Email,0.0005982343529900745
categorical__Channel_Used_Google,0.0004940156097762557
"categorical__Channel_Used_YouTube, Instagram",0.0003001296811452704
"categorical__Channel_Used_Google, YouTube",0.00029489446114786574
"categorical__Channel_Used_Email, YouTube",0.0002925804439021716
"categorical__Channel_Used_Google, Email",0.0002670162677688278
"categorical__Channel_Used_Instagram, YouTube",0.0002119180207583537
"categorical__Channel_Used_Facebook, Google",0.00020575829120327358
"categorical__Channel_Used_Google, Instagram",0.0001705674290285067
"categorical__Channel_Used_WhatsApp, Google",0.00015727083876942896
"categorical__Channel_Used_Email, WhatsApp",0.00015589463838632406
"categorical__Channel_Used_Instagram, Email",0.00015510267576065404
"categorical__Channel_Used_YouTube, WhatsApp",0.0001372229827893407
"categorical__Channel_Used_Instagram, WhatsApp",0.00013698676147068736
"categorical__Channel_Used_Facebook, YouTube",0.0001321659697474067
"categorical__Channel_Used_Facebook, WhatsApp",0.0001313978021011767
"categorical__Channel_Used_Email, Instagram",0.0001308230858568825
"categorical__Channel_Used_Instagram, Google",0.00011707555497258214
"categorical__Channel_Used_Email, Facebook",0.00011623644545495202
"categorical__Channel_Used_YouTube, Google",0.00010986889362134733
"categorical__Channel_Used_Facebook, Instagram",0.00010508445387510121
"categorical__Channel_Used_WhatsApp, Email",0.00010292490139098791
"categorical__Channel_Used_Email, Google",9.53292727530895e-05
"categorical__Channel_Used_YouTube, Facebook",8.887963333270857e-05
"categorical__Channel_Used_WhatsApp, Facebook",8.653452690013684e-05
"categorical__Channel_Used_Google, Facebook",8.236453711586231e-05
"categorical__Channel_Used_Instagram, Facebook",7.676812121219788e-05
"categorical__Channel_Used_Google, WhatsApp",7.445860282587099e-05
"categorical__Channel_Used_WhatsApp, YouTube",7.424704567359666e-05
"categorical__Channel_Used_YouTube, Email",7.3771239653096e-05
"categorical__Channel_Used_Facebook, Email",6.406968498613479e-05
"categorical__Channel_Used_YouTube, Instagram, Google",6.183312170220012e-05
"categorical__Channel_Used_WhatsApp, Instagram",6.12188650005597e-05
"categorical__Channel_Used_Google, Email, Facebook",3.419023284965905e-05
"categorical__Channel_Used_Instagram, Email, WhatsApp",3.2957365915730905e-05
"categorical__Channel_Used_Instagram, WhatsApp, Google",3.221743510450964e-05
"categorical__Channel_Used_Instagram, Google, Facebook",3.0242831447501878e-05
"categorical__Channel_Used_Email, Facebook, YouTube",2.8341074174274584e-05
"categorical__Channel_Used_Google, WhatsApp, Instagram",2.778109087199569e-05
"categorical__Channel_Used_YouTube, Google, Email",2.595905966568155e-05
"categorical__Channel_Used_Google, YouTube, Facebook",2.4932006495432316e-05
"categorical__Channel_Used_Facebook, Email, Instagram",2.4881852112647564e-05
"categorical__Channel_Used_Google, YouTube, Email",2.380687433435685e-05
"categorical__Channel_Used_Email, Google, WhatsApp",2.3311036767503228e-05
"categorical__Channel_Used_Instagram, Google, WhatsApp",2.1191330677453177e-05
"categorical__Channel_Used_YouTube, Google, WhatsApp",1.9450225820929195e-05
