Feature,Importance
numeric__Acquisition_Cost,0.8945495129653027
numeric__Conversions,0.015424172141371076
numeric__Leads,0.015384045395572888
numeric__Clicks,0.015182145018896013
numeric__Impressions,0.015118527048529562
numeric__Engagement_Score,0.01313032016090764
numeric__Duration,0.011801100568877051
categorical__Customer_Segment_Working Women,0.0015059341275611587
categorical__Target_Audience_Premium Shoppers,0.0014235918232924944
categorical__Target_Audience_Youth,0.0014001195085261147
categorical__Campaign_Type_Paid Ads,0.001385259463868983
categorical__Customer_Segment_Youth,0.0013664380113967555
categorical__Campaign_Type_Influencer,0.0013590251639634793
categorical__Customer_Segment_College Students,0.0013361822012630275
categorical__Target_Audience_College Students,0.0012977760004363932
categorical__Customer_Segment_Tier 2 City Customers,0.0012804395892281584
categorical__Campaign_Type_SEO,0.0012725824129223668
categorical__Target_Audience_Tier 2 City Customers,0.0012421775700914514
categorical__Campaign_Type_Social Media,0.0012230692483877939
categorical__Campaign_Type_Email,0.0011528412633510087
categorical__Customer_Segment_Premium Shoppers,0.0010840801586355807
categorical__Target_Audience_Working Women,0.0010806601576180683
