Feature,Importance
numeric__Duration,0.29208237926637204
categorical__Customer_Segment_Working Women,0.04991835976578262
categorical__Language_Hindi,0.03604419669116775
categorical__Campaign_Type_Email,0.03427041181515557
categorical__Campaign_Type_SEO,0.03341146967870611
categorical__Target_Audience_College Students,0.033164313355676905
categorical__Language_Bengali,0.03212494958544029
categorical__Language_English,0.03165516114582774
categorical__Campaign_Type_Influencer,0.031243035840690315
categorical__Target_Audience_Youth,0.03038497608888523
categorical__Target_Audience_Working Women,0.03018854126876599
categorical__Campaign_Type_Social Media,0.029984186891574987
categorical__Campaign_Type_Paid Ads,0.029310489307268674
categorical__Language_Tamil,0.02871171658085809
categorical__Customer_Segment_Tier 2 City Customers,0.02831626577266899
categorical__Customer_Segment_Youth,0.027145888657773086
categorical__Customer_Segment_Premium Shoppers,0.027048314282146074
categorical__Customer_Segment_College Students,0.025701615868724204
categorical__Target_Audience_Premium Shoppers,0.025697194808349994
categorical__Target_Audience_Tier 2 City Customers,0.023750620064174593
"categorical__Channel_Used_YouTube, Google, Email",0.007739217153753569
"categorical__Channel_Used_Google, Facebook, YouTube",0.00551767639365817
"categorical__Channel_Used_Email, WhatsApp, Facebook",0.004987674920209125
"categorical__Channel_Used_Instagram, WhatsApp, Google",0.003233364941960147
"categorical__Channel_Used_Google, Email",0.0026522143462202065
"categorical__Channel_Used_Email, Google, WhatsApp",0.0024061129163524377
"categorical__Channel_Used_Instagram, Facebook, YouTube",0.002390063329997886
"categorical__Channel_Used_Google, Instagram, Email",0.002361314563819904
"categorical__Channel_Used_Email, WhatsApp, Instagram",0.002285207579128894
"categorical__Channel_Used_Email, Facebook, WhatsApp",0.0022770962388388625
"categorical__Channel_Used_YouTube, Facebook, Instagram",0.0022460901690649683
"categorical__Channel_Used_Instagram, YouTube",0.0022424794180323174
"categorical__Channel_Used_Facebook, Google, WhatsApp",0.0022257597691687767
"categorical__Channel_Used_YouTube, WhatsApp",0.0020541947723946535
"categorical__Channel_Used_YouTube, Instagram",0.0019884740875572514
"categorical__Channel_Used_Facebook, Instagram, Google",0.0019270136617263677
"categorical__Channel_Used_WhatsApp, Facebook",0.0018232989039777695
"categorical__Channel_Used_WhatsApp, Instagram, YouTube",0.0017693883397309448
"categorical__Channel_Used_YouTube, Google, WhatsApp",0.0017068436198375166
"categorical__Channel_Used_Instagram, WhatsApp",0.0015049275899183137
"categorical__Channel_Used_Facebook, Email, WhatsApp",0.0014120216346420692
"categorical__Channel_Used_Google, YouTube, WhatsApp",0.0013782057090908713
"categorical__Channel_Used_Instagram, Email, WhatsApp",0.0012882283202224614
"categorical__Channel_Used_Google, Facebook",0.0012686233171217314
"categorical__Channel_Used_Email, Instagram",0.0011866851843013188
"categorical__Channel_Used_Instagram, WhatsApp, Facebook",0.0011835409861639034
categorical__Channel_Used_WhatsApp,0.0011504116426286758
"categorical__Channel_Used_YouTube, Facebook, Google",0.0011068290477616184
"categorical__Channel_Used_Facebook, YouTube, Email",0.0010808369595122916
"categorical__Channel_Used_Instagram, Google, Email",0.0010593375097298677
"categorical__Channel_Used_Email, Instagram, Facebook",0.001051204255132324
"categorical__Channel_Used_Email, Google, YouTube",0.0010280728639095037
"categorical__Channel_Used_Email, Facebook, Google",0.0010212475100646135
"categorical__Channel_Used_Google, Instagram, Facebook",0.0010195771494516152
"categorical__Channel_Used_YouTube, Google, Facebook",0.0009712510325031674
"categorical__Channel_Used_Facebook, WhatsApp, Instagram",0.0009101397866327787
"categorical__Channel_Used_Instagram, Facebook, Google",0.0009079966988571836
